uf,codigo_escola,nome_escola,dependencia_adm,reprovacao_fundamental_total,reprovacao_medio_total,evasao_fundamental_total,evasao_medio_total
RO,11007885,EEEMTI HEITOR VILLA LOBOS,Pública,,2.7,,0.3
RO,11007893,EEEFM RICARDO CANTANHEDE,Pública,,1.4,,2.6
RO,11007907,E M E I E F PROF¿ EVA DOS SANTOS DE OLIVEIRA,Pública,6.4,,0,
RO,11007931,EMEIEF CHAPEUZINHO VERMELHO,Pública,0.9,,0,
RO,11041439,EMEIEF PROF LEVI ALVES DE FREITAS,Pública,3.6,,0.2,
RO,11041986,EMEIEF PAULINA MAFINI,Pública,1.2,,0,
RO,11044462,CENTRO EDUCACIONAL MONTEIRO LOBATO,Privada,0,,0,
RO,11048620,EEEFM PROFESSORA CARMEM IONE DE ARAUJO,Pública,1.1,,4.4,
RO,11049910,COLEGIO EXCELENCIA,Privada,0.5,0,0,0
RO,11050233,EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA,Pública,3,3.1,0,0
RO,11050772,EMEIEF PROFESSOR GESSI JANES SOARES MOREIRA,Pública,6.9,,0,
RO,11050950,COLEGIO CRISTAO DE ARIQUEMES,Privada,0.9,0,0,0
RO,11051230,COLEGIO IMACULADO CORACAO DE MARIA,Privada,0,,0,
RO,11108800,IFRO - CAMPUS ARIQUEMES,Pública,,2.6,,2
RO,11034041,EMEIEF CECILIA MEIRELES - 11034270,Pública,2.3,,0,
RO,11034050,EEEF CHICO MENDES,Pública,0,,0,
RO,11034173,EMEIEF MARCO IRIS - 11034050,Pública,5.6,,0,
RO,11034270,EEEFM PLANALTO,Pública,2.7,0,2.7,0
RO,11034440,EEEFM JOSE DE ANCHIETA,Pública,0,0,0,0
RO,11039841,EMEIEF CHICO SOLDADO,Pública,2.8,,0,
RO,11025670,CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS,Privada,0,6.5,0,0
RO,11025999,EMEIEF ANITA GARIBALDI,Pública,0,,0,
RO,11026014,EEEFM ANTONIO GONCALVES DIAS,Pública,0.6,0,0,0
RO,11026073,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IX,Pública,0.4,3.4,0,0
RO,11026197,EEEFM CARLOS DRUMMOND DE ANDRADE,Pública,0.3,1.5,0.4,17.5
RO,11026235,EMTIEIEF CLAUDIO MANOEL DA COSTA,Pública,0,,0,
RO,11026278,EEEFM CORA CORALINA,Pública,,3.5,,6.2
RO,11026294,EMEIEF CRUZEIRO DO NORTE,Pública,0,,0,
RO,11026324,ESCOLA DANIEL BERG,Privada,0.1,3,0,0
RO,11026367,EMEIEF DR JOAO DE DEUS SIMPLICIO,Pública,0.6,,0,
RO,11026464,EEEF FREI CANECA,Pública,2.5,,0.2,
RO,11026499,EEEFM GRACILIANO RAMOS,Pública,0.2,,0.6,
RO,11026545,EEEF HONORINA LUCAS DE BRITO,Pública,0.4,,1.1,
RO,11026588,EIEEFM IZIDORO DE SOUZA MEIRELES,Pública,0,0,0,0
RO,11026626,EEEFM PAULO FREIRE,Pública,1.8,,0.4,
RO,11026685,EMEIEF JOSE MAURO DE VASCONCELOS,Pública,0,,0,
RO,11026758,EEEFM MARIA AURORA DO NASCIMENTO,Pública,0.9,,0.8,
RO,11026766,EMEIEF MARIA MONTESSORI,Pública,0,,0,
RO,11026812,EMEIEF MONTEIRO LOBATO,Pública,0,,0,
RO,11026839,EMEIEF NOSSA SENHORA DO CARMO,Pública,0,,0,
RO,11026936,EMEIEF PEDRO ALVARES CABRAL,Pública,0,,0,
RO,11026960,EMEIEF PRESIDENTE MEDICI,Pública,0.6,,0,
RO,11027002,EMEIEF PROF AGUSTINHO GOES DE OLIVEIRA,Pública,0,,0,
RO,11027088,EMEIEF SANTOS DUMONT,Pública,0.7,,0,
RO,11027134,EIEEFM SERTANISTA FRANCISCO MEIRELES,Pública,10,0,0,0
